day,open,high,low,close,volume
2023-08-02 09:37:00,3994.270,3994.560,3992.726,3993.765,110669000
2023-08-02 09:38:00,3993.684,3993.744,3991.968,3991.968,101362700
2023-08-02 09:39:00,3992.124,3993.134,3991.861,3992.566,118460900
2023-08-02 09:40:00,3992.555,3997.631,3992.555,3997.631,115452700
2023-08-02 09:41:00,3997.549,3997.549,3994.725,3995.355,103044900
2023-08-02 09:42:00,3995.102,3995.662,3995.102,3995.284,100930400
2023-08-02 09:43:00,3995.124,3995.258,3994.032,3994.430,100936200
2023-08-02 09:44:00,3994.737,3996.964,3994.292,3996.768,108246600
2023-08-02 09:45:00,3996.725,3996.725,3994.871,3996.349,101870400
2023-08-02 09:46:00,3996.263,3997.174,3995.622,3997.174,96154400
2023-08-02 09:47:00,3997.222,3997.228,3994.850,3995.210,93916700
2023-08-02 09:48:00,3995.348,3997.923,3994.957,3997.923,89236400
2023-08-02 09:49:00,3997.749,3998.892,3996.779,3998.892,95987100
2023-08-02 09:50:00,3998.738,4000.013,3998.634,3999.278,79901500
2023-08-02 09:51:00,3999.401,4002.328,3999.401,4002.175,120041200
2023-08-02 09:52:00,4002.280,4005.204,4002.280,4004.971,113912200
2023-08-02 09:53:00,4005.391,4005.801,4004.005,4004.104,106683600
2023-08-02 09:54:00,4004.438,4007.557,4003.971,4007.490,100945800
2023-08-02 09:55:00,4007.635,4008.334,4007.461,4008.038,98849200
2023-08-02 09:56:00,4008.175,4008.175,4004.029,4004.480,110527800
2023-08-02 09:57:00,4004.431,4004.431,4003.201,4003.623,90999700
2023-08-02 09:58:00,4003.552,4006.569,4003.552,4005.499,98623000
2023-08-02 09:59:00,4005.378,4005.420,4003.733,4004.501,74165300
2023-08-02 10:00:00,4004.120,4005.120,4003.870,4004.736,72637800
2023-08-02 10:01:00,4004.807,4005.844,4004.436,4004.502,97152300
2023-08-02 10:02:00,4004.038,4004.227,4002.925,4002.963,73599600
2023-08-02 10:03:00,4002.823,4004.782,4002.823,4003.438,86030000
2023-08-02 10:04:00,4003.512,4003.512,4000.895,4000.895,84185900
2023-08-02 10:05:00,4000.867,4001.481,4000.553,4001.242,76178600
2023-08-02 10:06:00,4001.139,4001.139,3997.129,3997.140,72167100
2023-08-02 10:07:00,3997.165,3997.246,3996.528,3996.528,59426100
2023-08-02 10:08:00,3996.489,3996.506,3995.631,3995.844,58207200
2023-08-02 10:09:00,3995.608,3995.756,3994.235,3994.235,54349800
2023-08-02 10:10:00,3994.308,3994.373,3991.346,3991.433,57281900
2023-08-02 10:11:00,3991.327,3991.517,3990.066,3990.350,62217600
2023-08-02 10:12:00,3990.213,3990.213,3988.873,3988.873,47634500
2023-08-02 10:13:00,3989.012,3989.604,3988.805,3989.604,48262500
2023-08-02 10:14:00,3989.314,3990.930,3989.266,3990.091,44998300
2023-08-02 10:15:00,3990.066,3991.025,3990.066,3991.025,42491400
2023-08-02 10:16:00,3990.964,3991.074,3989.730,3989.852,52545100
2023-08-02 10:17:00,3989.865,3990.163,3989.047,3989.047,48754600
2023-08-02 10:18:00,3988.927,3988.927,3985.448,3985.685,108624600
2023-08-02 10:19:00,3985.833,3987.771,3985.691,3987.747,54031600
2023-08-02 10:20:00,3988.068,3989.263,3987.710,3989.086,43956500
2023-08-02 10:21:00,3989.021,3989.479,3988.141,3988.164,47067600
2023-08-02 10:22:00,3988.409,3989.411,3988.246,3988.997,48785900
2023-08-02 10:23:00,3989.071,3989.656,3988.854,3989.656,39946800
2023-08-02 10:24:00,3989.869,3992.101,3989.869,3992.101,43448300
2023-08-02 10:25:00,3992.113,3993.083,3991.974,3992.966,34983700
2023-08-02 10:26:00,3993.164,3993.625,3991.588,3991.771,39448800
2023-08-02 10:27:00,3992.065,3992.201,3990.563,3990.795,40403500
2023-08-02 10:28:00,3990.535,3990.655,3989.689,3989.689,51177700
2023-08-02 10:29:00,3989.499,3989.556,3987.672,3987.823,55129600
2023-08-02 10:30:00,3987.696,3987.696,3986.583,3986.946,57232600
2023-08-02 10:31:00,3987.044,3987.044,3985.442,3985.509,66205000
2023-08-02 10:32:00,3985.298,3987.660,3985.129,3987.296,52451000
2023-08-02 10:33:00,3987.540,3988.117,3987.189,3987.189,37314900
2023-08-02 10:34:00,3987.369,3987.384,3985.930,3985.930,40603900
2023-08-02 10:35:00,3985.453,3985.453,3984.201,3984.201,50736500
2023-08-02 10:36:00,3984.304,3984.374,3983.509,3984.374,45137300
2023-08-02 10:37:00,3984.052,3984.189,3983.601,3984.125,50345800
2023-08-02 10:38:00,3984.221,3986.446,3984.215,3986.027,45783800
2023-08-02 10:39:00,3986.124,3986.150,3985.108,3985.108,44255200
2023-08-02 10:40:00,3985.075,3985.560,3984.961,3984.995,39601900
2023-08-02 10:41:00,3984.727,3984.886,3983.656,3983.656,38146900
2023-08-02 10:42:00,3983.874,3985.877,3983.674,3985.200,34655600
2023-08-02 10:43:00,3985.409,3985.486,3984.916,3984.916,28945200
2023-08-02 10:44:00,3984.986,3985.076,3984.361,3984.647,29129500
2023-08-02 10:45:00,3984.441,3984.963,3984.249,3984.963,32731400
2023-08-02 10:46:00,3985.048,3985.892,3984.508,3984.521,41643300
2023-08-02 10:47:00,3984.498,3984.498,3983.042,3983.042,59460300
2023-08-02 10:48:00,3982.919,3984.138,3982.919,3983.871,42496300
2023-08-02 10:49:00,3983.741,3983.819,3982.296,3982.296,39628000
2023-08-02 10:50:00,3982.389,3983.199,3981.993,3982.809,50969500
2023-08-02 10:51:00,3982.601,3982.771,3982.022,3982.542,50493000
2023-08-02 10:52:00,3982.320,3982.390,3980.661,3980.661,57020700
2023-08-02 10:53:00,3980.603,3981.995,3980.520,3981.721,47368000
2023-08-02 10:54:00,3981.545,3981.885,3981.422,3981.718,33469000
2023-08-02 10:55:00,3981.510,3981.532,3980.052,3980.052,37322200
2023-08-02 10:56:00,3980.294,3980.294,3978.668,3978.840,69321400
2023-08-02 10:57:00,3978.865,3979.340,3978.277,3978.371,49434900
2023-08-02 10:58:00,3978.148,3978.560,3977.354,3977.538,49564000
2023-08-02 10:59:00,3977.115,3977.877,3976.930,3977.244,42164400
2023-08-02 11:00:00,3977.236,3977.236,3975.761,3975.761,45729000
2023-08-02 11:01:00,3975.866,3975.866,3974.880,3975.514,60039900
2023-08-02 11:02:00,3975.502,3975.502,3974.295,3974.558,41054000
2023-08-02 11:03:00,3974.482,3976.956,3974.482,3976.551,45370200
2023-08-02 11:04:00,3976.877,3977.794,3976.748,3977.569,38285600
2023-08-02 11:05:00,3977.458,3978.019,3976.550,3976.550,39131100
2023-08-02 11:06:00,3976.450,3976.907,3976.314,3976.907,29210800
